BART Ridership Data ,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fiscal Year,Total Annual Exits,Annual % Change,Average Weekday Exits,Annual % Change,Average Saturday Exits,Annual % Change,Average Sunday Exits,Annual % Change,,Annualization,,,
,,,,,,,,,,,,,
FY73,"4,591,241",,"32,000",,,,,,,,,,
FY74,"13,960,680",204.1%,"57,400",79.4%,,,,,,,,,
FY75,"27,876,794",99.7%,"118,003",105.6%,,,,,,,,,
FY76,"32,897,431",18.0%,"131,000",11.0%,,,,,,,,,
FY77,"34,599,088",5.2%,"133,453",1.9%,,,,,,,,,
FY78,"38,655,206",11.7%,"146,780",10.0%,,,,,,,,,
FY79,"41,191,566",6.6%,"151,712",3.4%,,,,,,,,,
FY80,"34,482,335",-16.3%,"148,682",-2.0%,,,,,,,,,
FY81,"46,879,319",36.0%,"161,965",8.9%,,,,,,,,,
FY82,"53,290,643",13.7%,"184,062",13.6%,,,,,,,,,
FY83,"53,699,387",0.8%,"186,293",1.2%,,,,,,,,,
FY84,"58,277,463",8.5%,"202,536",8.7%,,,,,,,,,
FY85,"60,798,419",4.3%,"211,612",4.5%,,,,,,,,,
FY86,"58,894,468",-3.1%,"204,244",-3.5%,,,,,,,,,
FY87,"56,240,997",-4.5%,"194,226",-4.9%,,,,,,,,,
FY88,"57,595,481",2.4%,"198,259",2.1%,,,,,,,,,
FY89,"60,457,004",5.0%,"207,231",4.5%,"88,950",,"52,436",,,,,,
FY90,"70,549,547",16.7%,"241,525",16.5%,"107,526",20.9%,"66,416",26.7%,,,,,
FY91,"71,900,906",1.9%,"247,456",2.5%,"108,099",0.5%,"65,779",-1.0%,,,,,
FY92,"72,987,888",1.5%,"249,548",0.8%,"108,179",0.1%,"68,111",3.5%,,,,,
FY93,"73,939,485",1.3%,"253,838",1.7%,"108,356",0.2%,"68,246",0.2%,,,,,
FY94,"73,175,021",-1.0%,"251,981",-0.7%,"104,671",-3.4%,"67,008",-1.8%,,290,,,
FY95,"72,045,140",-1.5%,"248,169",-1.5%,"103,295",-1.3%,"66,214",-1.2%,,290,,,
FY96,"72,446,572",0.6%,"248,669",0.2%,"105,763",2.4%,"70,723",6.8%,,291,,,
FY97,"75,871,750",4.7%,"260,543",4.8%,"109,533",3.6%,"72,814",3.0%,,291,,,
FY98,"75,667,999",-0.3%,"265,324",1.8%,"110,778",1.1%,"74,042",1.7%,,285,,,
FY99,"81,364,678",7.5%,"278,683",5.0%,"118,452",6.9%,"80,299",8.4%,,292,,,
FY00,"91,092,291",12.0%,"310,268",11.3%,"132,372",11.8%,"91,162",13.5%,,294,,,
FY01,"97,280,846",6.8%,"331,586",6.9%,"144,831",9.4%,"103,949",14.0%,,293,,,
FY02,"90,796,756",-6.7%,"310,725",-6.3%,"137,108",-5.3%,"96,024",-7.6%,,292,,,
FY03,"87,380,764",-3.8%,"295,158",-5.0%,"137,362",0.2%,"100,848",5.0%,,296,,,
FY04,"91,042,192",4.2%,"306,570",3.9%,"145,394",5.8%,"104,350",3.5%,,297,,,
FY05,"92,756,099",1.9%,"310,717",1.4%,"150,046",3.2%,"108,721",4.2%,,299,,,
FY06,"96,852,220",4.4%,"322,965",3.9%,"161,884",7.9%,"116,479",7.1%,,300,,,
FY07,"101,704,381",5.0%,"339,359",5.1%,"172,040",6.3%,"124,874",7.2%,,300,,,
FY08,"107,487,604",5.7%,"357,775",5.4%,"181,186",5.3%,"132,502",6.1%,,300,,,
FY09,"106,874,420",-0.6%,"356,712",-0.3%,"182,771",0.9%,"130,153",-1.8%,,300,,,
FY10,"101,003,814",-5.5%,"334,984",-6.1%,"175,167",-4.2%,"125,275",-3.7%,,302,,,
FY11,"103,713,503",2.7%,"345,256",3.1%,"173,361",-1.0%,"126,428",0.9%,,300,,,
FY12,"110,776,960",6.8%,"366,565",6.2%,"189,968",9.6%,"138,834",9.8%,,302,,,
FY13,"117,815,050",6.4%,"392,293",7.0%,"202,887",6.8%,"148,249",6.8%,,300,,,
FY14,"117,073,699",-0.6%,"**399,145",1.7%,"203,310",0.2%,"150,600",1.6%,,293,,,
FY15,"125,979,396",7.6%,"423,120",6.0%,"207,539",2.1%,"151,562",0.6%,,298,,,
FY16,"128,523,988",2.0%,"433,394",2.4%,"201,397",-3.0%,"143,837",-5.1%,,297,,,
,,,,,,,,,,,,,
** FY14 average weekday exits excludes the two strikes (four days in July and three days in October),,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
