Avg Weekday Trip OD																																																			
																																																			
2024 / 01																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	12	70	58	34	223	47	76	62	76	19	48	37	21	9	15	11	6	9	14	6	14	9	6	13	15	178	153	231	149	95	100	26	35	26	10	3	6	2	9	9	13	36	11	4	8	13	4	10	5	6	"2,055"
EN	69	19	67	49	376	60	108	145	196	39	65	35	32	19	24	9	15	16	16	12	15	6	8	18	20	371	339	419	313	131	95	41	40	50	9	6	10	2	7	15	16	55	30	8	18	20	2	8	12	15	"3,471"
EP	61	60	7	31	300	44	64	96	109	27	24	11	17	11	9	4	8	6	8	10	11	6	5	14	4	238	209	159	151	50	35	14	14	18	2	2	4	3	4	4	7	35	9	4	12	6	1	3	7	7	"1,946"
NB	34	41	30	9	80	24	39	72	77	19	33	15	17	8	10	3	6	8	10	6	10	3	3	7	11	257	205	127	153	69	38	16	16	9	3	1	5	1	3	3	3	51	9	1	15	6	1	2	6	8	"1,584"
BK	252	389	310	89	29	154	154	214	223	85	128	61	70	59	55	38	61	54	44	43	54	27	16	16	40	335	263	265	235	123	113	66	39	42	15	15	37	8	27	16	14	126	43	13	41	24	8	20	47	59	"4,658"
AS	45	56	49	29	149	9	37	76	86	23	48	20	21	14	14	7	8	10	11	8	8	4	3	6	12	225	200	149	167	79	46	15	16	11	3	2	6	2	4	4	6	38	10	2	12	7	3	5	11	10	"1,788"
MA	89	107	54	36	152	40	16	84	104	26	86	54	52	33	30	25	26	26	74	58	68	27	17	34	31	397	323	282	297	164	98	35	36	36	8	8	24	13	63	9	12	56	16	9	12	22	17	59	15	24	"3,387"
19	70	151	93	76	196	83	88	17	21	16	55	52	82	49	51	32	55	55	76	81	94	52	35	68	34	509	408	329	332	176	116	58	52	49	15	13	42	21	42	22	21	47	28	22	15	32	13	53	30	30	"4,158"
12	82	183	105	77	199	81	100	22	21	13	59	66	112	92	76	54	83	66	95	114	105	49	42	72	40	497	362	383	320	153	122	66	72	69	29	15	70	34	76	34	34	66	35	20	18	29	13	73	30	38	"4,660"
LM	20	38	24	20	82	24	26	13	14	11	79	79	151	112	70	49	51	47	10	6	11	4	4	8	15	301	263	245	218	101	67	30	37	29	4	56	101	6	10	4	7	14	5	52	12	40	4	15	25	26	"2,641"
FV	51	61	26	29	120	52	88	63	66	70	20	107	142	129	112	56	44	51	16	11	16	9	10	21	64	313	296	362	324	150	117	31	46	46	6	30	74	3	10	4	11	30	8	32	6	38	5	12	25	30	"3,439"
CL	41	36	9	14	55	20	59	50	64	73	107	9	57	70	64	30	28	21	16	8	6	4	3	9	41	138	102	148	124	46	58	18	20	27	4	20	39	4	15	6	6	9	9	9	9	33	7	24	16	17	"1,802"
SL	24	34	15	19	70	22	58	80	127	157	151	65	15	68	120	59	53	75	16	12	15	2	4	13	24	302	297	282	225	83	58	23	33	36	4	24	88	3	9	8	5	15	3	29	5	52	2	15	34	28	"2,963"
BF	11	15	11	9	55	13	36	58	90	114	127	66	70	16	54	49	38	57	13	4	7	1	2	7	22	232	233	275	195	57	38	18	20	21	4	24	74	1	4	7	5	13	5	35	4	45	3	4	23	20	"2,304"
HY	16	28	9	11	50	14	34	58	81	65	109	64	127	59	14	49	101	116	12	6	9	3	2	5	21	144	128	128	101	35	18	10	12	22	4	8	38	1	12	4	7	7	6	19	5	66	3	11	51	42	"1,948"
SH	9	9	4	3	37	7	23	31	50	46	52	31	49	43	44	9	38	55	6	4	5	1	0	2	9	126	116	83	87	23	26	3	9	10	1	11	21	1	3	3	2	4	2	13	4	56	1	3	27	28	"1,233"
UC	6	17	8	6	61	8	28	58	87	46	48	30	56	48	101	39	14	54	8	5	10	1	1	4	10	209	161	112	99	34	12	7	11	13	2	6	30	0	3	3	4	10	2	15	7	61	1	3	54	50	"1,665"
FM	9	18	7	9	53	10	28	54	68	47	51	22	78	56	117	59	54	19	9	4	6	0	3	6	8	251	183	106	90	28	12	6	8	11	3	13	26	1	3	1	2	15	1	12	9	65	2	5	75	69	"1,793"
CN	13	16	8	10	47	9	74	76	90	15	16	14	16	13	15	7	7	10	24	49	128	82	24	47	8	268	258	197	191	53	47	20	23	27	10	2	6	23	110	6	9	52	10	4	13	3	53	78	7	6	"2,293"
PH	6	10	10	7	46	10	59	80	115	6	11	8	10	4	6	5	4	4	55	14	55	25	14	56	9	443	398	209	180	59	27	18	17	24	4	1	3	12	35	7	9	67	6	1	17	4	17	33	4	5	"2,230"
